address,lat,lon,offer_type,series,building_material,build_year,floor,total_floors,rooms,area_total,condition,usd_price,is_old
"Бишкек, Физкультурный, Суванбердиева, 110",42.8475,74.6138,от агента,индивид. планировка,монолитный,2023.0,6.0,12.0,1,41.0,евроремонт,69900,0
"Бишкек, Пишпек ж/м, Льва Толстого 148/Криваносова",42.8641,74.5465,от агента,индивид. планировка,кирпичный,1999.0,5.0,6.0,3,84.0,хорошее,87000,1
"Бишкек, Горького - Алма-Атинская, Анкара 3/4",42.8564,74.6424,от агента,108 серия,панельный,2025.0,7.0,10.0,1,53.0,под самоотделку (псо),59990,0
"Бишкек, Учкун м-н",42.8712,74.6934,от агента,105 серия,панельный,1990.0,1.0,9.0,1,34.0,среднее,52500,1
"Бишкек, Шлагбаум",42.8753,74.5597,от агента,105 серия,панельный,1992.0,1.0,3.0,1,34.0,хорошее,46000,1
"Бишкек, Цирк/Дворец бракосочетания, Баетова 74/Тыныстанова",42.8828,74.6107,от агента,индивид. планировка,кирпичный,2022.0,5.0,7.0,2,66.0,евроремонт,99000,0
"Бишкек, Магистраль/Манас",42.8235,74.5859,от агента,элитка,кирпичный,2024.0,11.0,14.0,2,100.0,под самоотделку (псо),151000,0
"Бишкек, Золотой квадрат, Боконбаева 115/Раззакова",42.8675,74.6026,от агента,элитка,монолитный,2020.0,8.0,12.0,3,130.0,евроремонт,360000,0
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8213,74.6168,от агента,элитка,кирпичный,2022.0,2.0,14.0,2,88.0,евроремонт,153052,0
"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",42.8291,74.5656,от агента,элитка,монолитный,2025.0,11.0,14.0,1,59.0,под самоотделку (псо),83000,0
"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",42.8595,74.6403,от агента,элитка,монолитный,2025.0,1.0,9.0,3,83.0,под самоотделку (псо),80454,0
"Бишкек, Чуй - Алматинка, Курманжан Датка, 53",42.878,74.6384,от агента,индивид. планировка,кирпичный,2022.0,4.0,9.0,2,79.0,евроремонт,110000,0
"Бишкек, Нижний Токольдош,  ул. Кийизбаева 32",42.8697,74.6293,от собственника,элитка,монолитный,2025.0,12.0,13.0,1,47.0,под самоотделку (псо),57500,0
"Бишкек, VEFA",42.8575,74.6127,от агента,индивид. планировка,кирпичный,2022.0,4.0,5.0,2,44.0,хорошее,71500,0
"Бишкек, Московская - Белинка, Турусбекова/Боконбаева",42.8682,74.5845,от агента,элитка,монолитный,2019.0,14.0,15.0,1,62.0,евроремонт,110000,0
"Бишкек, Дворец спорта, Рыскулова/Коенкозова",42.8791,74.5937,от агента,элитка,монолитный,2019.0,9.0,12.0,3,100.0,евроремонт,180000,0
"Бишкек, Дворец спорта, Жибек Жолу 372",42.8835,74.5935,от агента,элитка,монолитный,2019.0,5.0,12.0,2,48.0,хорошее,73000,0
"Бишкек, Магистраль",42.8172,74.6049,от агента,элитка,кирпичный,2022.0,12.0,13.0,2,85.0,евроремонт,95000,0
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,от собственника,элитка,монолитный,2022.0,9.0,14.0,3,80.0,евроремонт,169000,0
"Бишкек, VEFA, Жукеева-Пудовкина/Горького",42.8548,74.6162,от агента,элитка,кирпичный,2020.0,3.0,4.0,4,130.0,евроремонт,225000,0
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,от агента,элитка,монолитный,2024.0,4.0,18.0,3,124.0,под самоотделку (псо),184760,0
"Бишкек, Магистраль, Сухэ Батора",42.8219,74.6172,от агента,элитка,монолитный,2022.0,11.0,14.0,2,78.0,под самоотделку (псо),91500,0
"Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",42.8224,74.611,от агента,элитка,монолитный,2022.0,10.0,14.0,2,80.0,под самоотделку (псо),143000,0
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,от собственника,элитка,монолитный,2023.0,4.0,10.0,2,49.0,евроремонт,87000,0
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,12.0,14.0,3,102.17,под самоотделку (псо),76000,0
"Бишкек, 9 м-н",42.8379,74.6015,от агента,104 серия,кирпичный,2022.0,3.0,4.0,2,44.0,хорошее,77500,0
"Бишкек, с. Кок-Джар",42.8143,74.6466,от агента,элитка,кирпичный,2025.0,8.0,9.0,1,48.0,евроремонт,61500,0
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,от агента,элитка,монолитный,2024.0,8.0,16.0,1,45.0,под самоотделку (псо),60500,0
"Бишкек, ЦУМ",42.8744,74.6097,от агента,элитка,кирпичный,2022.0,8.0,19.0,3,105.0,евроремонт,275000,0
"Бишкек, Карпинка, Ахматбека Суюмбаева, 16",42.8721,74.6234,от агента,106 серия,панельный,1983.0,4.0,9.0,3,61.0,евроремонт,116500,1
"Бишкек, Кулатова- Матросова, Матросова, 1а ст2/Льва Толстого",42.8628,74.6199,от собственника,элитка,монолитный,2021.0,9.0,14.0,2,67.0,евроремонт,100000,0
"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",42.8151,74.6478,от агента,106 серия,панельный,2016.0,9.0,9.0,2,67.0,евроремонт,86000,0
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,от агента,элитка,монолитный,2023.0,11.0,12.0,1,46.0,евроремонт,76000,0
"Бишкек, Магистраль, Токомбаева, 24",42.8186,74.6148,от агента,индивид. планировка,кирпичный,2020.0,7.0,14.0,4,122.0,евроремонт,255000,0
"Бишкек, Магистраль",42.8305,74.583,от агента,элитка,кирпичный,2015.0,10.0,11.0,4,192.0,евроремонт,287000,0
"Бишкек, Лебединовка,  ул.Ленина(быв Салиева), пер. Чкалова",42.8826,74.6709,от агента,элитка,кирпичный,2023.0,6.0,10.0,2,57.0,под самоотделку (псо),56500,0
"Бишкек, с. Кок-Джар, 7-апреля / Сейтек",42.8148,74.6474,от агента,элитка,монолитный,2023.0,8.0,9.0,1,39.0,под самоотделку (псо),51000,0
"Бишкек, Улан-2 м-н, Улан-2 микрорайон, 2",42.844,74.6339,от агента,106 серия,панельный,2015.0,6.0,9.0,1,45.0,евроремонт,58500,0
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от собственника,элитка,кирпичный,2025.0,10.0,10.0,2,49.0,под самоотделку (псо),56350,0
"Бишкек, Золотой квадрат, Орозбекова 32/Московская",42.8691,74.602,от агента,элитка,кирпичный,2019.0,2.0,7.0,6,266.0,хорошее,460000,0
"Бишкек, ЖД вокзал, Туголбай Ата 67",42.8652,74.609,от агента,индивид. планировка,панельный,2000.0,11.0,13.0,2,65.0,хорошее,83000,0
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от собственника,108 серия,монолитный,2024.0,7.0,9.0,1,54.0,евроремонт,74999,0
"Бишкек, Лебединовка, Колбаева \ Лермонтова 8",42.8785,74.6576,от агента,индивид. планировка,кирпичный,2022.0,5.0,5.0,1,37.0,хорошее,47000,0
"Бишкек, Церковь, Тоголок Молдо 31/2",42.885,74.5988,от агента,элитка,монолитный,2024.0,1.0,9.0,2,74.0,под самоотделку (псо),83000,0
"Бишкек, Молодая Гвардия, Молодая Гвардия/Фрунзе",42.8745,74.5733,от агента,элитка,кирпичный,2022.0,8.0,16.0,1,50.0,под самоотделку (псо),66500,0
"Бишкек, ЖД вокзал, бул. Эркиндик 1",42.865,74.607,от агента,элитка,монолитный,2024.0,10.0,13.0,2,89.0,под самоотделку (псо),158000,0
"Бишкек, с. Кок-Джар, Конур осмон 6/1",42.8158,74.6485,от агента,элитка,монолитный,2024.0,4.0,12.0,1,49.1,под самоотделку (псо),59000,0
"Бишкек, Тунгуч м-н, микрорайон Тунгуч, 75",42.8525,74.6918,от агента,105 серия,панельный,1990.0,4.0,9.0,1,35.5,евроремонт,52000,1
"Бишкек, Молодая Гвардия, Рыскулова 95а",42.88,74.5746,от агента,элитка,монолитный,2023.0,6.0,12.0,3,94.0,хорошее,112000,0
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,11.0,14.0,2,67.0,евроремонт,93000,0
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8449,74.5673,от агента,элитка,монолитный,2023.0,17.0,18.0,2,50.0,евроремонт,83000,0
"Бишкек, Ден Сяопина - Фучика, Кайназарова / Профсоюзная",42.8836,74.5333,от агента,элитка,монолитный,2024.0,4.0,9.0,1,51.0,евроремонт,42500,0
"Бишкек, Магистраль,  ул. А. Малдыбаева 277 (пер. ул. А. Масалиева)",42.825,74.5974,от агента,элитка,монолитный,2025.0,14.0,20.0,3,117.0,под самоотделку (псо),134550,0
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,16.0,18.0,3,73.0,под самоотделку (псо),78000,0
"Бишкек, Магистраль, Аалы Токомбаева",42.8177,74.622,от агента,элитка,монолитный,2021.0,11.0,12.0,3,111.0,под самоотделку (псо),138000,0
"Бишкек, 8 м-н,",42.8297,74.6112,от агента,элитка,кирпичный,2026.0,11.0,15.0,1,43.0,под самоотделку (псо),57000,0
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2025.0,14.0,18.0,3,100.0,под самоотделку (псо),106000,0
"Бишкек, Золотой квадрат, Эркиндик бульвар, 9",42.8672,74.6069,от агента,индивид. планировка,монолитный,2011.0,10.0,12.0,6,600.0,евроремонт,710000,0
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8236,74.5858,от агента,элитка,панельный,2022.0,13.0,14.0,3,132.0,под самоотделку (псо),190000,0
"Бишкек, ТЭЦ",42.8715,74.656,от агента,104 серия,кирпичный,2022.0,3.0,5.0,2,55.0,евроремонт,70000,0
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8169,74.6092,от агента,элитка,монолитный,2022.0,8.0,12.0,2,77.0,евроремонт,94500,0
"Бишкек, Верхний Джал м-н",42.8362,74.5678,от агента,106 серия,панельный,1992.0,2.0,9.0,4,78.0,хорошее,107000,1
"Бишкек, Магистраль, Малдыбаева 279а",42.8239,74.5971,от агента,элитка,монолитный,2024.0,13.0,15.0,4,153.83,под самоотделку (псо),261511,0
"Бишкек, Космос, Абая 93Б",42.8484,74.6012,от агента,элитка,монолитный,2024.0,12.0,12.0,2,66.0,евроремонт,117500,0
"Бишкек, Кок-Жар ж/м, Кок-Жар (Куйручук/ Тон)",42.8517,74.6406,от агента,элитка,монолитный,2023.0,10.0,10.0,1,36.0,под самоотделку (псо),40500,0
"Бишкек, АУЦА, Токомбаева 15/12",42.8103,74.623,от агента,элитка,кирпичный,2025.0,1.0,4.0,2,69.0,под самоотделку (псо),124200,0
"Бишкек, Магистраль, Аалы Токомбаева улица/Токомбаева",42.8131,74.62,от агента,элитка,монолитный,2022.0,5.0,10.0,2,57.0,евроремонт,130000,0
"Бишкек, Советская - Скрябина, советская/медерова",42.8523,74.6116,от агента,индивид. планировка,кирпичный,2000.0,5.0,5.0,2,89.0,хорошее,92000,0
"Бишкек, 12 м-н, 12 мкрн, 57/1",42.8117,74.6376,от агента,элитка,монолитный,2023.0,10.0,12.0,1,53.0,евроремонт,80500,0
"Бишкек, Тунгуч м-н, Тунгуч, 64",42.8544,74.6874,от агента,индивид. планировка,монолитный,2015.0,6.0,10.0,2,66.0,евроремонт,92000,0
"Бишкек, 1000 мелочей",42.8736,74.6221,от агента,105 серия,панельный,1992.0,3.0,5.0,2,52.0,евроремонт,93000,1
"Бишкек, Юг-2 м-н",42.8582,74.6087,от агента,элитка,панельный,1992.0,6.0,10.0,4,130.0,хорошее,135000,1
"Бишкек, Центральная мечеть",42.8679,74.6206,от агента,индивид. планировка,кирпичный,2022.0,3.0,9.0,1,43.0,хорошее,61500,0
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от собственника,элитка,монолитный,2022.0,9.0,10.0,4,176.0,евроремонт,400000,0
"Бишкек, Пишпек ж/м",42.8642,74.5437,от агента,сталинка,кирпичный,2022.0,2.0,2.0,3,58.0,евроремонт,71500,0
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8207,74.6129,от агента,элитка,монолитный,2019.0,8.0,9.0,4,120.0,евроремонт,225000,0
"Бишкек, Чуй - Алматинка, Дордой",42.8763,74.6336,от агента,индивид. планировка,кирпичный,1984.0,3.0,4.0,2,56.0,евроремонт,55000,1
"Бишкек, Лебединовка, Проспект Ленина 208",42.8827,74.676,от агента,элитка,монолитный,2025.0,7.0,11.0,2,63.3,под самоотделку (псо),63000,0
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,3.0,12.0,3,82.0,под самоотделку (псо),98400,0
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,11.0,14.0,2,44.0,евроремонт,67500,0
"Бишкек, Джальская больница, ул.Айни 73",42.8487,74.5735,от агента,элитка,монолитный,2025.0,4.0,9.0,1,44.0,евроремонт,74500,0
"Бишкек, Аламедин-1 м-н, Загорская, 58",42.8805,74.6791,от агента,индивид. планировка,кирпичный,2024.0,5.0,12.0,2,78.0,евроремонт,110000,0
"Бишкек, Магистраль, Аалы Токомбаева 9/6",42.8143,74.625,от агента,элитка,монолитный,2022.0,4.0,11.0,1,53.0,под самоотделку (псо),63500,0
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,2.0,12.0,3,107.0,евроремонт,150000,0
"Бишкек, Средний Джал м-н, мкр. Джал-23 18/2",42.8407,74.565,от агента,элитка,монолитный,2022.0,10.0,14.0,1,44.0,под самоотделку (псо),55600,0
"Бишкек, Верхний Джал м-н",42.8349,74.5657,от агента,106 серия,панельный,1992.0,8.0,9.0,1,35.0,хорошее,63500,1
"Бишкек, 6 м-н",42.8254,74.6298,от агента,104 серия,панельный,1992.0,3.0,4.0,2,43.0,среднее,71000,1
"Бишкек, Баха, Ул Космическая 160",42.8449,74.5568,от агента,106 серия,панельный,1992.0,2.0,9.0,1,33.0,хорошее,72000,1
"Бишкек, Московская - Уметалиева, Тимирязева 10/Чокморова",42.8692,74.5787,от собственника,104 серия,панельный,1970.0,1.0,5.0,1,32.2,хорошее,66000,1
"Бишкек, Московская - Уметалиева, Уметалиева, 91",42.8749,74.5817,от агента,индивид. планировка,монолитный,2018.0,13.0,14.0,3,101.5,евроремонт,212500,0
"Бишкек, Аламедин-1 м-н",42.8773,74.6844,от собственника,105 серия,монолитный,2023.0,3.0,3.0,1,32.0,хорошее,58000,0
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,11.0,14.0,1,44.0,евроремонт,72000,0
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,от агента,элитка,монолитный,2022.0,13.0,14.0,3,108.0,под самоотделку (псо),133800,0
"Бишкек, 11 м-н",42.8212,74.6311,от агента,105 серия,панельный,1992.0,7.0,9.0,1,34.0,хорошее,61500,1
"Бишкек, Городок строителей, Квартал Городок строителей, 15",42.8736,74.6926,от агента,105 серия,панельный,1987.0,7.0,9.0,1,35.0,евроремонт,55000,1
"Бишкек, Чокана Валиханова - Исакеева,  ул. Исакеева/Виноградная",42.8643,74.6673,от агента,элитка,монолитный,2025.0,13.0,14.0,1,41.0,не достроено,41000,0
"Бишкек, Западный автовокзал, Динары Асановой 4",42.884,74.5633,от агента,элитка,монолитный,2021.0,6.0,9.0,1,36.5,евроремонт,55000,0
"Бишкек, Карпинка, Суюмбаева, 61",42.8731,74.624,от собственника,индивид. планировка,кирпичный,2025.0,4.0,12.0,3,167.0,под самоотделку (псо),217100,0
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8564,74.6886,от агента,элитка,монолитный,2024.0,9.0,14.0,3,91.0,под самоотделку (псо),98280,0
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от собственника,элитка,монолитный,2025.0,10.0,10.0,2,57.0,под самоотделку (псо),64000,0
"Бишкек, Мадина,  ул. 7 апреля",42.8689,74.6377,от агента,элитка,монолитный,2022.0,15.0,16.0,2,65.0,хорошее,107000,0
"Бишкек, Золотой квадрат, пр. Эркиндик 9",42.8672,74.607,от агента,элитка,монолитный,2023.0,10.0,11.0,6,580.0,хорошее,680000,0
"Бишкек, Пишпек ж/м, айни тыналиева",42.8629,74.5464,от агента,элитка,панельный,1992.0,13.0,16.0,2,77.0,под самоотделку (псо),102000,1
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8176,74.6056,от агента,элитка,монолитный,2022.0,5.0,14.0,2,86.0,евроремонт,195000,0
"Бишкек, Гагарина, ул.Тимура Фрунзе/Гагарина.",42.8516,74.5347,от собственника,элитка,монолитный,2023.0,7.0,10.0,3,91.3,евроремонт,117000,0
"Бишкек, Старый аэропорт, Джунусалиева, 184",42.8397,74.5803,от агента,индивид. планировка,монолитный,2025.0,5.0,16.0,1,60.8,евроремонт,78500,0
"Бишкек, Горького - Панфилова, Фатьянова 3",42.8612,74.6045,от агента,малосемейка,кирпичный,2022.0,3.0,3.0,1,27.0,среднее,27500,0
"Бишкек, Бишкек-Парк, Киевская/Турусбекова",42.8752,74.5859,от собственника,индивид. планировка,кирпичный,2022.0,5.0,5.0,1,43.0,хорошее,68000,0
"Бишкек, Джал-29 м-н",42.8311,74.5679,от агента,элитка,кирпичный,2022.0,9.0,9.0,2,53.0,хорошее,70000,0
"Бишкек, с. Кок-Джар, Алма-Aтинская/Токомбаева",42.8163,74.6486,от агента,элитка,монолитный,2020.0,9.0,9.0,2,71.0,евроремонт,100000,0
"Бишкек, Политех, г. Бишкек, ул.Целинная 21 (район Политех)",42.8459,74.5828,от агента,элитка,монолитный,2023.0,9.0,13.0,2,70.0,евроремонт,124500,0
"Бишкек, Джальская больница, Ахунбаева - Тыналиева",42.8454,74.5698,от агента,элитка,монолитный,2023.0,5.0,12.0,2,62.0,евроремонт,98000,0
"Бишкек, Комфорт",42.8697,74.6177,от собственника,индивид. планировка,панельный,1992.0,2.0,12.0,1,38.0,хорошее,53500,1
"Бишкек, Нижний Токольдош,  ул. Кийизбаева 32",42.8697,74.6293,от агента,элитка,монолитный,2025.0,8.0,12.0,2,71.0,под самоотделку (псо),74000,0
"Бишкек, 12 м-н",42.8128,74.6358,от агента,элитка,панельный,1992.0,6.0,13.0,3,106.0,евроремонт,163000,1
"Бишкек, Гагарина,  ул.Космическая 96",42.8469,74.5576,от агента,элитка,монолитный,2025.0,8.0,10.0,3,84.0,не достроено,82000,0
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8181,74.6164,от собственника,элитка,монолитный,2021.0,9.0,10.0,3,105.0,евроремонт,245000,0
"Бишкек, Карпинка, Фрунзе 300/3/Гоголя",42.8804,74.6204,от агента,элитка,монолитный,2023.0,14.0,17.0,4,200.0,евроремонт,300000,0
"Бишкек, Ден Сяопина - Фучика, Фучика 38/2/Рыскулова",42.8802,74.5608,от агента,элитка,кирпичный,2022.0,3.0,9.0,3,100.0,евроремонт,104500,0
"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",42.829,74.6218,от агента,элитка,монолитный,2022.0,15.0,16.0,2,74.0,евроремонт,195000,0
"Бишкек, Магистраль, Малдыбаева 279а",42.8248,74.5976,от агента,элитка,кирпичный,2024.0,3.0,15.0,3,120.0,под самоотделку (псо),202800,0
"Бишкек, Джал-29 м-н, Джал-29 мкр, 22",42.832,74.565,от агента,индивид. планировка,кирпичный,2019.0,6.0,9.0,2,81.6,евроремонт,135000,0
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,от агента,элитка,монолитный,2025.0,13.0,14.0,1,45.0,под самоотделку (псо),45500,0
"Бишкек, Асанбай м-н",42.8186,74.6248,от агента,элитка,кирпичный,2022.0,4.0,14.0,2,85.0,евроремонт,142000,0
"Бишкек, Горького - Алма-Атинская, Горького",42.8568,74.6308,от агента,элитка,монолитный,2024.0,10.0,14.0,3,103.0,под самоотделку (псо),113000,0
"Бишкек, Магистраль, токтоналиева 104а/1",42.8236,74.5929,от агента,элитка,кирпичный,2026.0,3.0,14.0,4,122.0,под самоотделку (псо),146000,0
"Бишкек, Джал-23 м-н (Нижний Джал) 12",42.8428,74.5666,от агента,106 серия,панельный,1992.0,8.0,8.0,1,49.0,среднее,62000,1
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от собственника,106 серия улучшенная,монолитный,2023.0,6.0,9.0,1,77.0,евроремонт,96000,0
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,от агента,элитка,монолитный,2025.0,2.0,14.0,1,45.0,не достроено,52000,0
"Бишкек, 4 м-н, К маркса 50/Койбагарова",42.8383,74.6235,от агента,индивид. планировка,кирпичный,2022.0,1.0,9.0,3,57.5,среднее,83500,0
"Бишкек, с. Кок-Джар, Баялинова",42.8161,74.6463,от агента,106 серия улучшенная,панельный,2023.0,5.0,9.0,1,44.0,евроремонт,59000,0
"Бишкек, 3 м-н 1",42.8403,74.6204,от агента,104 серия улучшенная,панельный,1992.0,4.0,4.0,1,38.0,среднее,57500,1
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8213,74.6168,от агента,элитка,кирпичный,2022.0,10.0,14.0,1,44.0,под самоотделку (псо),65000,0
"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",42.8217,74.6172,от агента,элитка,монолитный,2022.0,8.0,12.0,3,98.0,под самоотделку (псо),107800,0
"Бишкек, Мед. академия, Тыныстанова 4/Суеркулова",42.8393,74.6048,от агента,хрущевка,кирпичный,2022.0,4.0,4.0,2,40.0,евроремонт,64500,0
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от собственника,элитка,кирпичный,2024.0,11.0,12.0,2,77.5,под самоотделку (псо),96500,0
"Бишкек, Центральная мечеть, Московская, 58",42.8686,74.618,от агента,104 серия,кирпичный,1969.0,5.0,5.0,1,36.0,евроремонт,61500,1
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,от агента,элитка,монолитный,2022.0,9.0,14.0,3,80.0,евроремонт,172000,0
"Бишкек, 5 м-н, 5-й микрорайон, 51",42.8313,74.6232,от агента,индивид. планировка,кирпичный,2018.0,4.0,10.0,1,70.0,евроремонт,96000,0
"Бишкек, Кок-Жар ж/м, Модокулова",42.846,74.6428,от агента,элитка,монолитный,2019.0,3.0,12.0,1,40.0,евроремонт,64000,0
"Бишкек, Джал-29 м-н",42.8314,74.5657,от агента,элитка,монолитный,2023.0,7.0,9.0,2,50.0,евроремонт,78000,0
"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",42.8516,74.6152,от агента,элитка,монолитный,2025.0,12.0,17.0,1,50.0,под самоотделку (псо),66800,0
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,от агента,элитка,монолитный,2022.0,6.0,10.0,4,140.0,евроремонт,260000,0
"Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",42.8636,74.5442,от агента,элитка,монолитный,2024.0,10.0,14.0,2,49.0,под самоотделку (псо),57000,0
"Бишкек, с. Кок-Джар, мкр. Кок Жар Ак-Кайың 1А/Алматика,Алапаева",42.8206,74.649,от собственника,элитка,кирпичный,2024.0,9.0,14.0,1,38.0,евроремонт,63000,0
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.8138,74.6191,от агента,элитка,монолитный,2023.0,13.0,14.0,2,76.0,под самоотделку (псо),91200,0
"Бишкек, Магистраль",42.8141,74.609,от собственника,элитка,монолитный,2020.0,11.0,14.0,3,130.0,под самоотделку (псо),120000,0
"Бишкек, Московская - Уметалиева",42.8719,74.582,от агента,104 серия,кирпичный,2022.0,4.0,5.0,3,60.0,евроремонт,95000,0
"Бишкек, АЮ Grand, мкр.Тунгуч, Анкара",42.8548,74.6801,от агента,элитка,кирпичный,2022.0,7.0,9.0,3,83.0,евроремонт,120500,0
"Бишкек, Магистраль, Южная магистраль / пр.Чынгыза Айтматова",42.8233,74.5862,от агента,элитка,кирпичный,2022.0,8.0,12.0,3,150.0,под самоотделку (псо),147000,0
"Бишкек, Чуй - Алматинка, 24 24",42.8758,74.6333,от собственника,элитка,монолитный,2023.0,8.0,9.0,2,59.2,под самоотделку (псо),77000,0
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,монолитный,2024.0,8.0,14.0,2,59.78,под самоотделку (псо),66500,0
"Бишкек, Джал-29 м-н",42.8315,74.5665,от агента,элитка,кирпичный,2022.0,4.0,10.0,3,110.0,евроремонт,167000,0
"Бишкек, Чуй - Алматинка, Гражданская 24",42.8758,74.6333,от собственника,элитка,монолитный,2023.0,6.0,9.0,2,50.0,под самоотделку (псо),69500,0
"Бишкек, Сквер Тоголок Молдо, Манасчы Сагымбая 135",42.8712,74.5945,от агента,элитка,кирпичный,2023.0,9.0,14.0,3,109.0,евроремонт,250000,0
"Бишкек, с. Кок-Джар, Ак кайын 1",42.8206,74.649,от агента,элитка,монолитный,2023.0,14.0,15.0,3,103.0,евроремонт,123000,0
"Бишкек, VEFA",42.8572,74.6126,от агента,индивид. планировка,кирпичный,2022.0,4.0,5.0,2,44.0,среднее,71500,0
"Бишкек, Магистраль, Токомбаева, 33",42.8235,74.6125,от агента,индивид. планировка,кирпичный,2016.0,3.0,10.0,4,118.2,евроремонт,165000,0
"Бишкек, Кок-Жар ж/м, ж/м Кок-Жар, ул. Тон",42.8493,74.6391,от агента,элитка,монолитный,2022.0,9.0,10.0,2,63.0,евроремонт,98500,0
"Бишкек, Гагарина, Алыкул Осмонова 98/Айни",42.8487,74.5403,от собственника,индивид. планировка,кирпичный,1960.0,2.0,3.0,3,58.0,хорошее,75900,1
"Бишкек, Московская - Уметалиева",42.8678,74.5819,от агента,элитка,кирпичный,2022.0,4.0,10.0,3,100.0,евроремонт,170000,0
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,от агента,элитка,монолитный,2023.0,4.0,5.0,1,39.0,евроремонт,53999,0
"Бишкек, Московская - Уметалиева, Боконбаева-Уметалиева 8",42.8674,74.5802,от агента,элитка,монолитный,2023.0,2.0,13.0,2,42.0,евроремонт,72500,0
"Бишкек, 3 м-н",42.8401,74.6223,от агента,104 серия,монолитный,2023.0,4.0,4.0,1,38.0,хорошее,57500,0
"Бишкек, Токольдош ж/м",42.8631,74.6438,от собственника,элитка,кирпичный,2024.0,2.0,3.0,1,35.0,евроремонт,56000,0
"Бишкек, 6 м-н 9",42.8275,74.6301,от агента,104 серия,панельный,1992.0,1.0,4.0,3,60.0,хорошее,85000,1
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6152,от собственника,элитка,монолитный,2022.0,15.0,16.0,2,63.0,евроремонт,115000,0
"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",42.8151,74.6478,от агента,106 серия улучшенная,панельный,2016.0,9.0,9.0,4,106.0,евроремонт,139000,0
"Бишкек, Горького - Алма-Атинская, Горького",42.8568,74.6308,от агента,элитка,монолитный,2024.0,6.0,14.0,1,37.0,под самоотделку (псо),44400,0
