address,lat,lon,building_material,build_year,floor,total_floors,rooms,area_total,usd_price,is_old,condition_unfinished,series_group
"Бишкек, Джал 15 м-н",42.8454,74.5667,кирпичный,2022.0,7.0,12.0,1,48.0,69500,0,0,low
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,монолитный,2022.0,2.0,15.0,2,60.0,76000,0,1,low
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева 5",42.8185,74.5851,монолитный,2021.0,10.0,14.0,4,152.0,270000,0,1,low
"Бишкек, Ак Кеме, Толомуш Океева 39",42.8365,74.5824,монолитный,2023.0,13.0,14.0,3,186.0,460000,0,0,low
"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",42.8215,74.6054,монолитный,2025.0,12.0,25.0,4,135.0,182250,0,1,low
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,монолитный,2023.0,8.0,14.0,2,70.0,79500,0,1,low
"Бишкек, Нижний Токольдош, Восток-5, Кийизбаева 31",42.8706,74.6291,монолитный,2018.0,7.0,10.0,3,74.0,122000,0,0,low
"Бишкек, Городок строителей",42.8741,74.6913,панельный,1992.0,1.0,9.0,1,35.0,53000,1,0,high
"Бишкек, Карпинка, Карпинского 146/Огонбаева",42.8787,74.6229,монолитный,2023.0,3.0,5.0,3,58.0,89500,0,0,high
"Бишкек, Горького - Алма-Атинская, Горького",42.8568,74.6308,монолитный,2024.0,5.0,14.0,2,66.2,60800,0,1,low
"Бишкек, Арча-Бешик ж/м, Космическая 153",42.8457,74.5513,кирпичный,2025.0,9.0,10.0,2,73.34,81500,0,1,low
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,монолитный,2024.0,14.0,14.0,1,44.67,49700,0,1,low
"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",42.8167,74.6245,монолитный,2025.0,3.0,18.0,2,128.0,199680,0,1,low
"Бишкек, VEFA, Байтик-Баатыра",42.8552,74.6107,кирпичный,2016.0,3.0,15.0,3,103.0,159500,0,0,low
"Бишкек, 11 м-н, 11-й микрорайон, 21",42.82,74.6321,панельный,1988.0,9.0,9.0,3,69.0,120000,1,0,high
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,монолитный,2023.0,3.0,5.0,1,34.0,58000,0,0,low
"Бишкек, Средний Джал м-н",42.8382,74.566,кирпичный,2022.0,5.0,6.0,3,110.0,127000,0,0,mid
"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",42.8223,74.6161,монолитный,2024.0,10.0,12.0,3,108.0,112000,0,1,low
"Бишкек, Кок-Жар м-н",42.8489,74.6318,панельный,1992.0,1.0,9.0,2,75.0,82000,1,0,low
"Бишкек, Ак Кеме",42.8367,74.5832,кирпичный,2022.0,5.0,5.0,3,69.0,110000,0,0,mid
"Бишкек, Политех, г. Бишкек, ул.Целинная 21 (район Политех)",42.8459,74.5828,монолитный,2023.0,5.0,13.0,2,70.0,127000,0,0,low
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,кирпичный,2023.0,4.0,10.0,3,105.0,126000,0,1,low
"Бишкек, Чуй - Алматинка, шабдан баатыра",42.8754,74.6395,кирпичный,2022.0,4.0,5.0,1,45.0,72000,0,0,mid
"Бишкек, с. Кок-Джар, Баялинова 31",42.8185,74.6463,панельный,2025.0,4.0,9.0,1,44.0,57500,0,0,mid
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.819,74.6145,монолитный,2019.0,5.0,14.0,4,123.0,285000,0,0,low
"Бишкек, Магистраль, Сухэ Батора",42.8184,74.6144,кирпичный,2022.0,8.0,14.0,3,83.0,99000,0,1,low
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,монолитный,2024.0,5.0,11.0,2,76.2,93500,0,1,low
"Бишкек, Молодая Гвардия, Уметалиева/Тимирязева",42.8777,74.5774,панельный,1992.0,1.0,1.0,1,40.0,65000,1,0,mid
"Бишкек, Чуй - Алматинка, Гражданская 24",42.8758,74.6333,монолитный,2022.0,4.0,9.0,1,38.0,47500,0,1,low
"Бишкек, Аламедин-1 м-н",42.8773,74.6808,панельный,1992.0,3.0,9.0,1,33.0,55000,1,0,high
"Бишкек, Магистраль",42.8114,74.6221,кирпичный,2022.0,12.0,12.0,1,38.0,40500,0,1,low
"Бишкек, Магистраль, Токомбаева 21/6/Куттубаева",42.8152,74.6169,монолитный,2028.0,13.0,17.0,2,78.0,124800,0,1,low
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,монолитный,2023.0,2.0,12.0,1,42.0,47000,0,1,low
"Бишкек, Верхний Джал м-н",42.8353,74.5675,панельный,1992.0,8.0,9.0,1,36.0,64500,1,0,high
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8185,74.612,монолитный,2024.0,9.0,19.0,4,155.81,257087,0,1,low
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8112,74.6226,монолитный,2025.0,13.0,14.0,2,49.0,59990,0,1,low
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,монолитный,2022.0,15.0,15.0,2,59.0,65000,0,1,low
"Бишкек, 7 м-н 6",42.8336,74.6172,кирпичный,2022.0,4.0,4.0,2,45.6,90000,0,0,high
"Бишкек, Магистраль, Байтик Баатыра 2в/6",42.8198,74.6057,монолитный,2023.0,8.0,12.0,3,110.7,144000,0,1,low
"Бишкек, Гагарина",42.8506,74.5417,кирпичный,2022.0,4.0,4.0,2,40.0,58000,0,0,high
"Бишкек, АЮ Grand,  ул. Анкара 1/34",42.8558,74.688,монолитный,2020.0,3.0,7.0,1,40.0,68500,0,0,low
"Бишкек, АЮ Grand",42.8575,74.6889,панельный,1992.0,2.0,9.0,2,75.0,69000,1,1,low
"Бишкек, Асанбай м-н, Куттубаева/Южная Магистраль",42.823,74.6193,кирпичный,2022.0,5.0,12.0,2,60.0,95000,0,0,low
"Бишкек, Туберкулезная больница,  ул Новосельская/Широкая",42.9215,74.62,кирпичный,1975.0,1.0,2.0,2,40.0,52500,1,0,mid
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева 6",42.9025,74.5863,монолитный,2024.0,3.0,5.0,1,38.0,53000,0,0,mid
"Бишкек, Восточный автовокзал, Жумабека 9",42.8827,74.6266,монолитный,2025.0,3.0,9.0,2,67.0,87000,0,0,low
"Бишкек, Магистраль",42.8249,74.6127,кирпичный,2022.0,10.0,16.0,2,78.0,101500,0,1,low
"Бишкек, Улан м-н",42.8434,74.6334,кирпичный,2022.0,10.0,10.0,1,43.0,67000,0,0,low
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,монолитный,2024.0,8.0,18.0,2,86.0,137600,0,1,low
"Бишкек, Карпинка",42.8661,74.6235,панельный,1985.0,9.0,9.0,3,69.0,93500,1,0,high
"Бишкек, Колмо ж/м, Умут",42.903,74.5712,кирпичный,2022.0,3.0,4.0,1,36.0,38500,0,0,high
"Бишкек, Горького - Панфилова,  ул.Каракульская 1 (Бот.сад)",42.8601,74.5922,монолитный,2026.0,6.0,14.0,3,88.0,141000,0,1,low
"Бишкек, 5 м-н, 5 микрорайон",42.8314,74.6232,монолитный,2017.0,6.0,10.0,3,99.0,157000,0,0,low
"Бишкек, ЖД вокзал, Тыныстанова 62/1",42.8651,74.6077,кирпичный,2007.0,2.0,6.0,4,168.0,315000,0,0,low
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8194,74.6142,монолитный,2019.0,7.0,14.0,3,122.0,240000,0,0,low
"Бишкек, VEFA, Геологический пер., 1",42.8592,74.6148,панельный,1970.0,3.0,5.0,3,58.0,86500,1,0,high
"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",42.8167,74.6245,монолитный,2025.0,6.0,18.0,1,48.0,86400,0,1,low
"Бишкек, Мед. академия, Тыныстанова",42.8394,74.6048,кирпичный,1967.0,4.0,4.0,1,30.6,64500,1,0,high
"Бишкек, АЮ Grand, Ауэзова 5/3",42.8575,74.6879,кирпичный,2026.0,6.0,15.0,2,72.0,61200,0,1,low
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8169,74.6092,монолитный,2022.0,11.0,12.0,2,78.0,89500,0,1,low
"Бишкек, Джал-29 м-н",42.8307,74.5645,кирпичный,2022.0,3.0,9.0,1,42.6,61000,0,0,low
"Бишкек, Магистраль, Куттубаева, 19",42.8149,74.6224,монолитный,2025.0,11.0,18.0,5,228.24,330600,0,0,mid
"Бишкек, Баха, курчатова",42.8455,74.5633,кирпичный,2025.0,4.0,12.0,2,78.0,97500,0,1,low
"Бишкек, Горького - Алма-Атинская, Горького блок 2",42.8568,74.6308,монолитный,2023.0,1.0,14.0,3,81.2,78000,0,1,low
"Бишкек, Кара-Жыгач ж/м, Кара Жыгач",42.8611,74.6577,кирпичный,2020.0,3.0,3.0,1,44.0,56000,0,0,mid
"Бишкек, ЖД вокзал, ул. Панфилова, 145",42.8651,74.6008,монолитный,2023.0,8.0,15.0,3,120.3,185000,0,0,low
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля N-1",42.8566,74.6386,кирпичный,2023.0,7.0,16.0,1,40.0,49500,0,1,low
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8183,74.6143,кирпичный,2025.0,7.0,14.0,1,55.0,71500,0,1,low
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8236,74.5858,панельный,2022.0,12.0,14.0,3,142.0,194540,0,1,low
"Бишкек, 12 м-н, 12 мкр., ул. Токомбаева/Саякбая Каралаева",42.8128,74.6403,монолитный,2023.0,13.0,13.0,2,60.0,94500,0,0,low
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,монолитный,2022.0,8.0,12.0,2,63.0,104500,0,0,low
"Бишкек, Кок-Жар ж/м, шоокум 84/1",42.8454,74.6456,кирпичный,2022.0,6.0,10.0,2,68.7,58400,0,1,low
"Бишкек, Джальская больница, Ахунбаева - Тыналиева",42.8454,74.5698,монолитный,2025.0,10.0,12.0,3,118.0,147500,0,0,mid
"Бишкек, Джальская больница, Ахунбаева 194",42.8418,74.5726,кирпичный,2022.0,3.0,9.0,1,37.0,62500,0,0,high
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8176,74.6109,монолитный,2022.0,13.0,16.0,2,64.0,117000,0,0,low
"Бишкек, 4 м-н 35",42.8366,74.6283,панельный,1992.0,3.0,4.0,2,44.0,71000,1,0,high
"Бишкек, Учкун м-н, Чуй/Ауэзова",42.8717,74.6908,монолитный,2024.0,7.0,9.0,1,48.0,40800,0,1,low
"Бишкек, Аламедин-1 м-н",42.8817,74.6792,кирпичный,2022.0,4.0,9.0,3,103.0,135000,0,0,low
"Бишкек, Киргизия 1 ж/м, Ала -Арча 17/АхунбаеваТуркестан",42.8172,74.5807,кирпичный,2022.0,2.0,3.0,1,35.0,57500,0,0,mid
"Бишкек, АЮ Grand, Исакеева 2",42.8587,74.6817,монолитный,2017.0,9.0,10.0,1,36.0,57000,0,0,low
"Бишкек, с. Кок-Джар",42.8148,74.6462,монолитный,2023.0,2.0,9.0,1,43.0,65900,0,0,low
"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",42.8644,74.5878,монолитный,2024.0,9.0,20.0,1,43.0,56000,0,1,low
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,монолитный,2023.0,1.0,10.0,3,97.0,140000,0,1,low
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8236,74.5858,монолитный,2022.0,10.0,14.0,3,120.0,250000,0,0,low
"Бишкек, 1000 мелочей",42.8762,74.6218,панельный,1992.0,9.0,9.0,3,61.0,84500,1,0,high
"Бишкек, Госрегистр, Чынгыз Айтматова 10",42.8616,74.5875,кирпичный,1985.0,1.0,2.0,2,49.0,74000,1,0,mid
"Бишкек, Джал-29 м-н, Тыналиева стр. 9/2",42.8311,74.5681,монолитный,2018.0,1.0,12.0,3,97.3,150000,0,0,low
"Бишкек, Магистраль, проспект Чынгыза Айтматова, 237а",42.831,74.5845,кирпичный,2022.0,9.0,10.0,6,380.0,575000,0,0,low
"Бишкек, 12 м-н",42.8149,74.6339,кирпичный,2022.0,5.0,9.0,3,80.0,106000,0,0,high
"Бишкек, VEFA",42.8574,74.6099,монолитный,2008.0,7.0,14.0,3,135.0,175000,0,0,low
"Бишкек, ЦУМ, Киевская/Тыныстанова",42.8743,74.6099,монолитный,2023.0,7.0,19.0,5,150.0,360000,0,0,low
"Бишкек, 10 м-н",42.8333,74.6013,панельный,1992.0,4.0,5.0,2,48.5,83000,1,0,high
"Бишкек, Парк Ататюрк",42.8395,74.5923,панельный,1992.0,3.0,4.0,1,45.0,75000,1,0,high
"Бишкек, Джал-29 м-н",42.8316,74.5665,панельный,1992.0,8.0,11.0,1,45.0,72000,1,0,low
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",42.8191,74.5857,монолитный,2021.0,12.0,14.0,4,152.0,295000,0,0,low
"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",42.8277,74.586,монолитный,2021.0,5.0,14.0,2,45.0,115000,0,0,low
"Бишкек, Асанбай м-н, Сухэ Батора/Токомбаева",42.8222,74.6176,монолитный,2022.0,14.0,16.0,1,58.5,73125,0,1,low
"Бишкек, Учкун-2 ж/м, Бекбосын Сатыбалдиев, 96",42.8668,74.6938,панельный,1992.0,2.0,2.0,2,47.0,55000,1,0,high
"Бишкек, 7 м-н, Жукеева-Пудовкина, 87",42.8255,74.6164,монолитный,2017.0,16.0,16.0,2,85.0,169000,0,0,mid
"Бишкек, Кара-Жыгач ж/м, Сары-Жаз, 5",42.859,74.6511,кирпичный,2022.0,1.0,5.0,1,36.0,56500,0,0,mid
"Бишкек, Карпинка, Уркуи Салиевой 140",42.8731,74.624,монолитный,2024.0,5.0,12.0,2,85.0,119000,0,1,low
"Бишкек, с. Кок-Джар, Сейтек, 9",42.8147,74.6457,панельный,2010.0,4.0,9.0,1,45.0,69000,0,0,high
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,монолитный,2024.0,8.0,14.0,3,109.0,185000,0,0,low
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.819,74.6046,монолитный,2024.0,15.0,16.0,1,43.2,68500,0,0,low
"Бишкек, Улан-2 м-н, мкр Улан-2",42.8442,74.6331,монолитный,2023.0,8.0,9.0,2,74.0,86000,0,0,low
"Бишкек, Золотой квадрат, ул. Чокморова, 164",42.8738,74.6077,монолитный,2017.0,2.0,12.0,3,125.0,235000,0,0,low
"Бишкек, Кок-Жар ж/м, Кок-Жар, ул.Куйручук 28",42.8465,74.6413,монолитный,2024.0,11.0,12.0,2,61.0,62500,0,1,low
"Бишкек, Ден Сяопина - Фучика, Кольбаева 32",42.88,74.545,кирпичный,2022.0,1.0,5.0,2,45.0,70000,0,0,high
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8194,74.6143,кирпичный,2022.0,3.0,14.0,3,92.0,106000,0,1,low
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,кирпичный,2024.0,9.0,14.0,1,47.0,84500,0,0,low
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,монолитный,2023.0,4.0,9.0,1,28.0,44000,0,0,low
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,монолитный,2024.0,5.0,5.0,3,77.6,68000,0,1,low
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,монолитный,2024.0,4.0,14.0,2,65.0,75000,0,1,low
"Бишкек, 12 м-н",42.8127,74.6389,кирпичный,2022.0,13.0,14.0,2,65.0,93000,0,0,low
"Бишкек, Джал 15 м-н",42.8454,74.5664,кирпичный,2025.0,12.0,14.0,2,61.0,75000,0,1,low
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8232,74.5863,кирпичный,2024.0,13.0,14.0,3,132.0,190000,0,1,low
"Бишкек, Чуй - Алматинка, салиева",42.8835,74.6443,кирпичный,2022.0,8.0,10.0,2,47.0,81000,0,0,low
"Бишкек, Советская - Скрябина, Абая/Ахунбаева",42.8467,74.6022,монолитный,2022.0,10.0,16.0,2,74.0,129500,0,0,low
"Бишкек, 4 м-н",42.8381,74.6276,панельный,1992.0,2.0,4.0,2,44.0,77500,1,0,high
"Бишкек, Московская - Уметалиева, Уметалиева/Московская",42.8717,74.5802,кирпичный,1980.0,5.0,5.0,2,58.0,72000,1,0,mid
"Бишкек, Шлагбаум",42.8732,74.5613,панельный,1992.0,4.0,5.0,1,35.0,61500,1,0,high
"Бишкек, Учкун ж/м, Ауэзова, 8",42.8693,74.6917,кирпичный,2025.0,9.0,12.0,3,116.0,168000,0,0,mid
"Бишкек, Магистраль,  ул. Куттубаева, 15/3/Магистраль",42.8139,74.6191,монолитный,2023.0,6.0,12.0,2,64.0,109000,0,0,low
"Бишкек, Сквер Тоголок Молдо, Исанова 33/Исанова",42.8712,74.592,кирпичный,2017.0,6.0,15.0,3,105.0,172000,0,0,low
"Бишкек, Бишкек-Парк 43/Токтогула",42.8732,74.5888,монолитный,1978.0,5.0,9.0,4,85.0,125000,1,0,mid
"Бишкек, Гагарина, Репина 159",42.8491,74.5507,кирпичный,2025.0,3.0,10.0,1,38.0,54000,0,0,low
"Бишкек, 3 м-н, 3-й микрорайон, 1",42.8401,74.6186,панельный,1972.0,4.0,4.0,1,32.0,57500,1,0,high
"Бишкек, 11 м-н, Айтиева",42.8191,74.6314,панельный,1992.0,3.0,4.0,1,32.0,61000,1,0,high
"Бишкек, КНУ, Фрунзе 571/Уметалиева",42.8825,74.5814,монолитный,2024.0,11.0,12.0,3,119.0,180000,0,0,low
"Бишкек, 7 м-н",42.8251,74.6164,монолитный,2023.0,6.0,10.0,2,72.0,115000,0,0,low
"Бишкек, Политех",42.8459,74.5843,панельный,1992.0,1.0,4.0,2,44.0,69000,1,0,high
"Бишкек, 7 м-н, 7-й микрорайон, 16",42.8277,74.619,панельный,2018.0,3.0,4.0,2,48.0,72000,0,0,high
"Бишкек, Кок-Жар ж/м",42.8457,74.643,кирпичный,2022.0,1.0,9.0,1,44.0,58000,0,0,low
"Бишкек, Кудайберген, патриса лумумбы 66/Садыгалиева",42.8784,74.5208,монолитный,1997.0,1.0,3.0,1,40.0,57000,1,0,high
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,монолитный,2024.0,13.0,16.0,3,90.0,145000,0,0,low
"Бишкек, Магистраль",42.8275,74.5768,кирпичный,2022.0,12.0,13.0,3,177.0,182000,0,0,low
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,монолитный,2021.0,6.0,12.0,3,106.0,111000,0,1,low
"Бишкек, Кок-Жар м-н",42.8494,74.6334,кирпичный,2022.0,7.0,20.0,2,75.0,71250,0,1,low
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,монолитный,2022.0,1.0,9.0,1,53.0,71900,0,0,low
"Бишкек, Джал-29 м-н, Садырбаева 258а",42.8306,74.5657,монолитный,2023.0,5.0,12.0,3,82.0,100000,0,1,low
"Бишкек, Джал-29 м-н, Садырбаева 258а",42.8306,74.5657,монолитный,2024.0,11.0,12.0,2,72.0,103500,0,0,low
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,монолитный,2022.0,7.0,9.0,5,118.0,178000,0,0,low
"Бишкек, 6 м-н",42.8216,74.6237,кирпичный,2022.0,4.0,4.0,3,65.0,78000,0,0,high
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8433,74.5679,кирпичный,2012.0,8.0,10.0,1,46.0,75000,0,0,low
"Бишкек, КНУ, Абдымомунова 255",42.8805,74.5908,монолитный,2020.0,7.0,12.0,2,46.0,90000,0,0,low
"Бишкек, Аламедин-1 м-н, Аламедин-1 микрорайон, 34",42.8759,74.6817,панельный,2021.0,7.0,11.0,1,38.3,59000,0,0,mid
"Бишкек, Мед. академия",42.8465,74.6022,кирпичный,2022.0,14.0,16.0,2,65.0,105000,0,0,low
"Бишкек, Баха, Курчатова 91/1",42.839,74.563,монолитный,2023.0,10.0,14.0,1,44.4,55500,0,1,low
"Бишкек, 7 м-н, 7 мкр. дом 16/1 (Юнусалиева / Сухэ Батора)",42.8282,74.619,монолитный,2024.0,2.0,15.0,2,74.0,99000,0,1,low
"Бишкек, Кок-Жар ж/м, 7 Апреля",42.8453,74.6357,монолитный,2020.0,7.0,9.0,2,80.0,118000,0,0,low
"Бишкек, Церковь, Тоголок Молдо 31/2",42.885,74.5988,монолитный,2023.0,7.0,9.0,1,48.0,57600,0,1,low
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6152,монолитный,2022.0,12.0,16.0,3,101.0,165000,0,0,low
"Бишкек, Джал-23 м-н (Нижний Джал) 77",42.8417,74.5643,панельный,1992.0,1.0,9.0,2,39.0,65000,1,0,high
"Бишкек, 12 м-н",42.8146,74.6364,монолитный,2023.0,8.0,10.0,2,68.0,108000,0,0,low
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,монолитный,2023.0,7.0,10.0,4,80.0,93000,0,1,low
"Бишкек, Баха, Курчатова",42.8403,74.5624,кирпичный,2027.0,13.0,15.0,2,51.0,44000,0,1,low
"Бишкек, Достук м-н",42.8886,74.532,панельный,1992.0,1.0,3.0,3,92.8,77000,1,0,mid
"Бишкек, Киргизия 1 ж/м, Самойленко 4б",42.8164,74.5807,кирпичный,2022.0,4.0,5.0,4,150.0,260000,0,0,mid
"Бишкек, Мед. академия,",42.8379,74.609,кирпичный,2026.0,14.0,17.0,1,58.7,75400,0,1,low
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,монолитный,2022.0,6.0,14.0,3,75.0,145000,0,0,low
"Бишкек, 12 м-н, 12-мкр. по ул. Токомбаева",42.8115,74.6376,монолитный,2021.0,8.0,10.0,1,46.0,80000,0,0,low
"Бишкек, 1000 мелочей, чуй/Карпинка",42.8764,74.6226,кирпичный,1981.0,4.0,9.0,4,136.0,225000,1,0,mid
"Бишкек, Магистраль, Сухэ Батора",42.8219,74.6172,монолитный,2022.0,2.0,14.0,2,80.0,82000,0,1,low
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,монолитный,2023.0,12.0,14.0,2,66.0,71000,0,1,low
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,монолитный,2022.0,7.0,14.0,3,109.0,199000,0,1,low
"Бишкек, Магистраль, Токомбаева, 29",42.8234,74.6137,кирпичный,2024.0,12.0,12.0,3,136.0,150000,0,0,mid
"Бишкек, Кок-Жар ж/м",42.8446,74.6421,панельный,1992.0,2.0,9.0,1,45.0,64000,1,0,low
"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",42.829,74.6218,монолитный,2022.0,15.0,15.0,3,122.0,201300,0,1,low
"Бишкек, с. Кок-Джар,  ул.Арашан 10",42.8171,74.649,монолитный,2025.0,4.0,12.0,2,68.44,63000,0,1,low
"Бишкек, Мадина,  ул. 7 апреля",42.8689,74.6377,монолитный,2022.0,13.0,16.0,3,95.0,115000,0,0,low
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,монолитный,2025.0,10.0,16.0,1,42.3,50000,0,1,low
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8195,74.6155,монолитный,2019.0,10.0,12.0,3,103.0,180000,0,0,low
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8451,74.5654,монолитный,2023.0,12.0,14.0,1,42.0,47000,0,1,low
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,монолитный,2021.0,8.0,10.0,2,55.0,71500,0,0,mid
"Бишкек, Магистраль",42.8266,74.5856,кирпичный,2021.0,4.0,12.0,4,125.0,215000,0,0,low
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,монолитный,2023.0,9.0,14.0,2,61.0,64000,0,1,low
"Бишкек, 7 м-н",42.8298,74.6165,панельный,1992.0,1.0,4.0,2,46.0,69500,1,0,high
"Бишкек, 12 м-н, 12 мкрн 57/1",42.8121,74.6374,монолитный,2021.0,13.0,13.0,1,60.0,96000,0,0,low
"Бишкек, Цирк/Дворец бракосочетания, Жумабека 129/Бульвар эркиндик",42.8822,74.608,панельный,1990.0,1.0,5.0,3,80.0,130000,1,0,mid
"Бишкек, Нижний Токольдош, Кийизбаева 80",42.8673,74.6321,монолитный,2022.0,6.0,9.0,1,48.0,73000,0,0,low
"Бишкек, Сквер Тоголок Молдо, Московская 147",42.8704,74.5918,монолитный,2011.0,3.0,9.0,3,90.0,160000,0,0,low
"Бишкек, Золотой квадрат",42.8668,74.6086,кирпичный,2020.0,4.0,12.0,2,62.0,126000,0,0,low
"Бишкек, Дордой ж/м/СК Дос Береке",42.9412,74.6233,кирпичный,2022.0,2.0,4.0,1,30.0,38000,0,0,low
"Бишкек, 7 м-н, Юнусалиева 173/2",42.8273,74.6217,монолитный,2023.0,8.0,10.0,3,96.0,160000,0,0,low
"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",42.8151,74.6478,панельный,2016.0,5.0,9.0,1,45.0,68500,0,0,low
"Бишкек, Гагарина,  ул.Космическая 96",42.8469,74.5576,монолитный,2025.0,5.0,10.0,1,36.0,41500,0,1,low
"Бишкек, Горького - Алма-Атинская, Горького",42.8567,74.6305,монолитный,2024.0,5.0,11.0,2,67.0,91500,0,0,low
"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",42.8714,74.5825,монолитный,2016.0,11.0,12.0,3,109.0,165000,0,0,low
"Бишкек, Дворец спорта, Коенкозова 119",42.8824,74.5941,кирпичный,2024.0,11.0,12.0,2,78.0,127000,0,0,low
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,монолитный,2024.0,10.0,12.0,2,85.27,101045,0,1,low
"Бишкек, Асанбай м-н, Токомбаева",42.82,74.6215,панельный,1992.0,8.0,9.0,2,55.0,96500,1,0,high
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8441,74.5672,монолитный,2023.0,12.0,14.0,2,61.0,75000,0,1,low
"Бишкек, Матросова, Медерова 26",42.8515,74.6208,кирпичный,2025.0,8.0,14.0,1,44.0,71500,0,1,high
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,монолитный,2022.0,3.0,15.0,2,70.34,79500,0,1,low
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,монолитный,2023.0,8.0,14.0,2,48.0,64000,0,1,low
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,монолитный,2022.0,3.0,14.0,3,87.0,151000,0,1,low
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8714,74.5939,монолитный,2025.0,10.0,16.0,4,141.0,155000,0,1,low
"Бишкек, Советская - Скрябина",42.8516,74.6152,монолитный,2023.0,13.0,17.0,2,78.5,102050,0,1,low
"Бишкек, Юбилейка, Байтик Баатыра, 69",42.8603,74.6116,панельный,1980.0,4.0,4.0,2,44.9,74500,1,0,high
"Бишкек, Московская - Уметалиева",42.8726,74.5777,кирпичный,2022.0,2.0,5.0,2,52.0,79000,0,0,mid
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,монолитный,2023.0,13.0,14.0,2,73.0,67000,0,1,low
