address,lat,lon,offer_type,series,building_material,build_year,floor,total_floors,rooms,area_total,area_living,condition,usd_price
"Бишкек, Магистраль, пр. Ч. Айтматова 82/2",42.8277,74.586,от агента,элитка,монолитный,2021.0,5.0,14.0,2,45.0,19.0,евроремонт,115000
"Бишкек, Асанбай м-н, Сухэ Батора/Токомбаева",42.8222,74.6176,от агента,элитка,монолитный,2022.0,14.0,16.0,1,58.5,,под самоотделку (псо),73125
"Бишкек, Учкун-2 ж/м, Бекбосын Сатыбалдиев, 96",42.8668,74.6938,от агента,105 серия,панельный,,2.0,2.0,2,47.0,28.0,,55000
"Бишкек, 7 м-н, Жукеева-Пудовкина, 87",42.8255,74.6164,от агента,индивид. планировка,монолитный,2017.0,16.0,16.0,2,85.0,45.0,,169000
"Бишкек, Кара-Жыгач ж/м, Сары-Жаз, 5",42.859,74.6511,от агента,индивид. планировка,кирпичный,2022.0,1.0,5.0,1,36.0,7.7,,56500
"Бишкек, Карпинка, Уркуи Салиевой 140",42.8731,74.624,от собственника,элитка,монолитный,2024.0,5.0,12.0,2,85.0,,под самоотделку (псо),119000
"Бишкек, с. Кок-Джар, Сейтек, 9",42.8147,74.6457,от агента,106 серия,панельный,2010.0,4.0,9.0,1,45.0,20.0,,69000
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,8.0,14.0,3,109.0,,евроремонт,185000
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.819,74.6046,от агента,элитка,монолитный,2024.0,15.0,16.0,1,43.2,,евроремонт,68500
"Бишкек, Улан-2 м-н, мкр Улан-2",42.8442,74.6331,от агента,106 серия улучшенная,монолитный,,8.0,9.0,2,74.0,,евроремонт,86000
"Бишкек, Золотой квадрат, ул. Чокморова, 164",42.8738,74.6077,от агента,элитка,монолитный,2017.0,2.0,12.0,3,125.0,,евроремонт,235000
"Бишкек, Кок-Жар ж/м, Кок-Жар, ул.Куйручук 28",42.8465,74.6413,от агента,элитка,монолитный,2024.0,11.0,12.0,2,61.0,,под самоотделку (псо),62500
"Бишкек, Ден Сяопина - Фучика, Кольбаева 32",42.88,74.545,от собственника,105 серия,кирпичный,,1.0,5.0,2,45.0,,хорошее,70000
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8194,74.6143,от агента,элитка,кирпичный,2022.0,3.0,14.0,3,92.0,,под самоотделку (псо),106000
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,от собственника,элитка,кирпичный,2024.0,9.0,14.0,1,47.0,46.0,евроремонт,84500
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,108 серия,монолитный,2023.0,4.0,9.0,1,28.0,28.0,евроремонт,44000
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,от агента,элитка,монолитный,2024.0,5.0,5.0,3,77.6,,под самоотделку (псо),68000
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,4.0,14.0,2,65.0,,под самоотделку (псо),75000
"Бишкек, 12 м-н",42.8127,74.6389,от агента,элитка,кирпичный,,13.0,14.0,2,65.0,,евроремонт,93000
"Бишкек, Джал 15 м-н",42.8454,74.5664,от агента,элитка,кирпичный,2025.0,12.0,14.0,2,61.0,,под самоотделку (псо),75000
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8232,74.5863,от агента,элитка,кирпичный,2024.0,13.0,14.0,3,132.0,,под самоотделку (псо),190000
"Бишкек, Чуй - Алматинка, салиева",42.8835,74.6443,от агента,элитка,кирпичный,,8.0,10.0,2,47.0,,евроремонт,81000
"Бишкек, Советская - Скрябина, Абая/Ахунбаева",42.8467,74.6022,от агента,элитка,монолитный,2022.0,10.0,16.0,2,74.0,,евроремонт,129500
"Бишкек, 4 м-н",42.8381,74.6276,от агента,104 серия,панельный,,2.0,4.0,2,44.0,,хорошее,77500
"Бишкек, Московская - Уметалиева, Уметалиева/Московская",42.8717,74.5802,от агента,индивид. планировка,кирпичный,1980.0,5.0,5.0,2,58.0,58.0,среднее,72000
"Бишкек, Шлагбаум",42.8732,74.5613,от агента,105 серия,панельный,,4.0,5.0,1,35.0,,евроремонт,61500
"Бишкек, Учкун ж/м, Ауэзова, 8",42.8693,74.6917,от агента,индивид. планировка,кирпичный,2025.0,9.0,12.0,3,116.0,69.4,,168000
"Бишкек, Магистраль,  ул. Куттубаева, 15/3/Магистраль",42.8139,74.6191,от агента,элитка,монолитный,2023.0,6.0,12.0,2,64.0,,евроремонт,109000
"Бишкек, Сквер Тоголок Молдо, Исанова 33/Исанова",42.8712,74.592,от агента,элитка,кирпичный,2017.0,6.0,15.0,3,105.0,,евроремонт,172000
"Бишкек, Бишкек-Парк 43/Токтогула",42.8732,74.5888,от собственника,индивид. планировка,монолитный,1978.0,5.0,9.0,4,85.0,74.0,хорошее,125000
"Бишкек, Гагарина, Репина 159",42.8491,74.5507,от агента,элитка,кирпичный,2025.0,3.0,10.0,1,38.0,,евроремонт,54000
"Бишкек, 3 м-н, 3-й микрорайон, 1",42.8401,74.6186,от агента,104 серия,панельный,1972.0,4.0,4.0,1,32.0,17.3,,57500
"Бишкек, 11 м-н, Айтиева",42.8191,74.6314,от агента,104 серия,панельный,,3.0,4.0,1,32.0,,среднее,61000
"Бишкек, КНУ, Фрунзе 571/Уметалиева",42.8825,74.5814,от агента,элитка,монолитный,2024.0,11.0,12.0,3,119.0,,евроремонт,180000
"Бишкек, 7 м-н",42.8251,74.6164,от агента,элитка,монолитный,,6.0,10.0,2,72.0,61.0,евроремонт,115000
"Бишкек, Политех",42.8459,74.5843,от агента,104 серия,панельный,,1.0,4.0,2,44.0,,хорошее,69000
"Бишкек, 7 м-н, 7-й микрорайон, 16",42.8277,74.619,от агента,104 серия,панельный,2018.0,3.0,4.0,2,48.0,29.0,,72000
"Бишкек, Кок-Жар ж/м",42.8457,74.643,от агента,106 серия улучшенная,кирпичный,,1.0,9.0,1,44.0,,хорошее,58000
"Бишкек, Кудайберген, патриса лумумбы 66/Садыгалиева",42.8784,74.5208,от собственника,105 серия,монолитный,1997.0,1.0,3.0,1,40.0,24.0,евроремонт,57000
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,от агента,элитка,монолитный,2024.0,13.0,16.0,3,90.0,,евроремонт,145000
"Бишкек, Магистраль",42.8275,74.5768,от агента,элитка,кирпичный,,12.0,13.0,3,177.0,,евроремонт,182000
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,6.0,12.0,3,106.0,,под самоотделку (псо),111000
"Бишкек, Кок-Жар м-н",42.8494,74.6334,от агента,элитка,кирпичный,,7.0,20.0,2,75.0,,под самоотделку (псо),71250
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,от агента,108 серия,монолитный,2022.0,1.0,9.0,1,53.0,,евроремонт,71900
"Бишкек, Джал-29 м-н, Садырбаева 258а",42.8306,74.5657,от агента,элитка,монолитный,2023.0,5.0,12.0,3,82.0,,под самоотделку (псо),100000
"Бишкек, Джал-29 м-н, Садырбаева 258а",42.8306,74.5657,от собственника,элитка,монолитный,2024.0,11.0,12.0,2,72.0,,евроремонт,103500
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,от агента,108 серия,монолитный,2022.0,7.0,9.0,5,118.0,,евроремонт,178000
"Бишкек, 6 м-н",42.8216,74.6237,от агента,104 серия,кирпичный,,4.0,4.0,3,65.0,,среднее,78000
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8433,74.5679,от агента,элитка,кирпичный,2012.0,8.0,10.0,1,46.0,,евроремонт,75000
"Бишкек, КНУ, Абдымомунова 255",42.8805,74.5908,от агента,элитка,монолитный,2020.0,7.0,12.0,2,46.0,,хорошее,90000
"Бишкек, Аламедин-1 м-н, Аламедин-1 микрорайон, 34",42.8759,74.6817,от агента,индивид. планировка,панельный,2021.0,7.0,11.0,1,38.3,14.42,,59000
"Бишкек, Мед. академия",42.8465,74.6022,от агента,элитка,кирпичный,,14.0,16.0,2,65.0,,евроремонт,105000
"Бишкек, Баха, Курчатова 91/1",42.839,74.563,от агента,элитка,монолитный,,10.0,14.0,1,44.4,,под самоотделку (псо),55500
"Бишкек, 7 м-н, 7 мкр. дом 16/1 (Юнусалиева / Сухэ Батора)",42.8282,74.619,от агента,элитка,монолитный,2024.0,2.0,15.0,2,74.0,,под самоотделку (псо),99000
"Бишкек, Кок-Жар ж/м, 7 Апреля",42.8453,74.6357,от агента,элитка,монолитный,2020.0,7.0,9.0,2,80.0,,евроремонт,118000
"Бишкек, Церковь, Тоголок Молдо 31/2",42.885,74.5988,от собственника,108 серия,монолитный,,7.0,9.0,1,48.0,,под самоотделку (псо),57600
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6152,от агента,элитка,монолитный,2022.0,12.0,16.0,3,101.0,,евроремонт,165000
"Бишкек, Джал-23 м-н (Нижний Джал) 77",42.8417,74.5643,от агента,105 серия,панельный,,1.0,9.0,2,39.0,,евроремонт,65000
"Бишкек, 12 м-н",42.8146,74.6364,от агента,элитка,монолитный,,8.0,10.0,2,68.0,,евроремонт,108000
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от агента,элитка,монолитный,,7.0,10.0,4,80.0,,под самоотделку (псо),93000
"Бишкек, Баха, Курчатова",42.8403,74.5624,от агента,элитка,кирпичный,2027.0,13.0,15.0,2,51.0,,под самоотделку (псо),44000
"Бишкек, Достук м-н",42.8886,74.532,от собственника,индивид. планировка,панельный,,1.0,3.0,3,92.8,,евроремонт,77000
"Бишкек, Киргизия 1 ж/м, Самойленко 4б",42.8164,74.5807,от собственника,индивид. планировка,кирпичный,2022.0,4.0,5.0,4,150.0,,евроремонт,260000
"Бишкек, Мед. академия,",42.8379,74.609,от собственника,элитка,кирпичный,2026.0,14.0,17.0,1,58.7,,не достроено,75400
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,от агента,элитка,монолитный,2022.0,6.0,14.0,3,75.0,,евроремонт,145000
"Бишкек, 12 м-н, 12-мкр. по ул. Токомбаева",42.8115,74.6376,от агента,элитка,монолитный,2021.0,8.0,10.0,1,46.0,,хорошее,80000
"Бишкек, 1000 мелочей, чуй/Карпинка",42.8764,74.6226,от агента,индивид. планировка,кирпичный,1981.0,4.0,9.0,4,136.0,,хорошее,225000
"Бишкек, Магистраль, Сухэ Батора",42.8219,74.6172,от агента,элитка,монолитный,2022.0,2.0,14.0,2,80.0,,под самоотделку (псо),82000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,12.0,14.0,2,66.0,,под самоотделку (псо),71000
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,от агента,элитка,монолитный,2022.0,7.0,14.0,3,109.0,,под самоотделку (псо),199000
"Бишкек, Магистраль, Токомбаева, 29",42.8234,74.6137,от агента,индивид. планировка,кирпичный,2024.0,12.0,12.0,3,136.0,94.0,,150000
"Бишкек, Кок-Жар ж/м",42.8446,74.6421,от агента,элитка,панельный,,2.0,9.0,1,45.0,,евроремонт,64000
"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",42.829,74.6218,от агента,элитка,монолитный,2022.0,15.0,15.0,3,122.0,,под самоотделку (псо),201300
"Бишкек, с. Кок-Джар,  ул.Арашан 10",42.8171,74.649,от агента,элитка,монолитный,2025.0,4.0,12.0,2,68.44,,под самоотделку (псо),63000
"Бишкек, Мадина,  ул. 7 апреля",42.8689,74.6377,от агента,элитка,монолитный,2022.0,13.0,16.0,3,95.0,,хорошее,115000
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,от агента,элитка,монолитный,2025.0,10.0,16.0,1,42.3,,под самоотделку (псо),50000
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8195,74.6155,от агента,элитка,монолитный,2019.0,10.0,12.0,3,103.0,,евроремонт,180000
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8451,74.5654,от агента,элитка,монолитный,2023.0,12.0,14.0,1,42.0,,под самоотделку (псо),47000
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,индивид. планировка,монолитный,2021.0,8.0,10.0,2,55.0,,евроремонт,71500
"Бишкек, Магистраль",42.8266,74.5856,от агента,элитка,кирпичный,2021.0,4.0,12.0,4,125.0,,евроремонт,215000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от собственника,элитка,монолитный,2023.0,9.0,14.0,2,61.0,,под самоотделку (псо),64000
"Бишкек, 7 м-н",42.8298,74.6165,от агента,104 серия,панельный,,1.0,4.0,2,46.0,,среднее,69500
"Бишкек, 12 м-н, 12 мкрн 57/1",42.8121,74.6374,от агента,элитка,монолитный,2021.0,13.0,13.0,1,60.0,,евроремонт,96000
"Бишкек, Цирк/Дворец бракосочетания, Жумабека 129/Бульвар эркиндик",42.8822,74.608,от собственника,индивид. планировка,панельный,1990.0,1.0,5.0,3,80.0,77.0,евроремонт,130000
"Бишкек, Нижний Токольдош, Кийизбаева 80",42.8673,74.6321,от агента,элитка,монолитный,2022.0,6.0,9.0,1,48.0,,евроремонт,73000
"Бишкек, Сквер Тоголок Молдо, Московская 147",42.8704,74.5918,от агента,элитка,монолитный,2011.0,3.0,9.0,3,90.0,,хорошее,160000
"Бишкек, Золотой квадрат",42.8668,74.6086,от агента,элитка,кирпичный,2020.0,4.0,12.0,2,62.0,,евроремонт,126000
"Бишкек, Дордой ж/м/СК Дос Береке",42.9412,74.6233,от агента,элитка,кирпичный,,2.0,4.0,1,30.0,,евроремонт,38000
"Бишкек, 7 м-н, Юнусалиева 173/2",42.8273,74.6217,от агента,элитка,монолитный,,8.0,10.0,3,96.0,,евроремонт,160000
"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",42.8151,74.6478,от агента,элитка,панельный,2016.0,5.0,9.0,1,45.0,,хорошее,68500
"Бишкек, Гагарина,  ул.Космическая 96",42.8469,74.5576,от агента,элитка,монолитный,2025.0,5.0,10.0,1,36.0,,не достроено,41500
"Бишкек, Горького - Алма-Атинская, Горького",42.8567,74.6305,от агента,элитка,монолитный,2024.0,5.0,11.0,2,67.0,,евроремонт,91500
"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",42.8714,74.5825,от агента,элитка,монолитный,2016.0,11.0,12.0,3,109.0,60.0,евроремонт,165000
"Бишкек, Дворец спорта, Коенкозова 119",42.8824,74.5941,от агента,элитка,кирпичный,2024.0,11.0,12.0,2,78.0,20.0,евроремонт,127000
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,10.0,12.0,2,85.27,,под самоотделку (псо),101045
"Бишкек, Асанбай м-н, Токомбаева",42.82,74.6215,от агента,106 серия,панельный,,8.0,9.0,2,55.0,,евроремонт,96500
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8441,74.5672,от агента,элитка,монолитный,,12.0,14.0,2,61.0,,под самоотделку (псо),75000
"Бишкек, Матросова, Медерова 26",42.8515,74.6208,от агента,пентхаус,кирпичный,2025.0,8.0,14.0,1,44.0,,под самоотделку (псо),71500
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,3.0,15.0,2,70.34,,под самоотделку (псо),79500
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,от агента,элитка,монолитный,2023.0,8.0,14.0,2,48.0,,под самоотделку (псо),64000
"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",42.8171,74.6059,от агента,элитка,монолитный,2022.0,3.0,14.0,3,87.0,,под самоотделку (псо),151000
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8714,74.5939,от агента,элитка,монолитный,2025.0,10.0,16.0,4,141.0,,под самоотделку (псо),155000
"Бишкек, Советская - Скрябина",42.8516,74.6152,от собственника,элитка,монолитный,,13.0,17.0,2,78.5,,под самоотделку (псо),102050
"Бишкек, Юбилейка, Байтик Баатыра, 69",42.8603,74.6116,от агента,104 серия,панельный,1980.0,4.0,4.0,2,44.9,31.4,,74500
"Бишкек, Московская - Уметалиева",42.8726,74.5777,от собственника,индивид. планировка,кирпичный,,2.0,5.0,2,52.0,,хорошее,79000
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,от агента,элитка,монолитный,2023.0,13.0,14.0,2,73.0,,под самоотделку (псо),67000
"Бишкек, Молодая Гвардия, Чокморова 225/К. Акиева",42.8698,74.5762,от собственника,105 серия,панельный,1987.0,2.0,9.0,3,63.0,40.0,среднее,109800
"Бишкек, Учкун м-н, учкун 9",42.8711,74.6931,от агента,индивид. планировка,панельный,,3.0,5.0,2,47.0,30.0,хорошее,58000
"Бишкек, 12 м-н",42.8145,74.6344,от агента,106 серия,панельный,,5.0,9.0,4,82.0,,среднее,110000
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2025.0,9.0,13.0,1,41.0,,под самоотделку (псо),60500
"Бишкек, Политех",42.8413,74.5854,от агента,хрущевка,кирпичный,,3.0,3.0,1,30.0,,евроремонт,55000
"Бишкек, Магистраль, Южная Магистраль",42.8138,74.6248,от агента,элитка,монолитный,2018.0,4.0,10.0,1,40.0,,евроремонт,58500
"Бишкек, Учкун ж/м, Сатыбалдиева 104",42.8687,74.6919,от собственника,104 серия,панельный,1993.0,2.0,2.0,1,39.0,,среднее,41000
"Бишкек, Магистраль",42.8143,74.6089,от агента,элитка,кирпичный,,2.0,12.0,2,77.0,,под самоотделку (псо),93000
"Бишкек, Лебединовка,  ул. Проспект победы 121",42.8839,74.6819,от агента,элитка,монолитный,2025.0,1.0,10.0,1,44.0,,под самоотделку (псо),40000
"Бишкек, АЮ Grand, Тунгуч 6/1",42.8536,74.6836,от агента,элитка,кирпичный,,4.0,12.0,2,77.0,,евроремонт,95000
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,2.0,14.0,3,84.44,,под самоотделку (псо),93000
"Бишкек, Матросова, Суванбердиева 110",42.8485,74.6173,от агента,элитка,монолитный,2023.0,9.0,12.0,2,58.0,,евроремонт,95000
"Бишкек, с. Кок-Джар,  ул.Арашан 10",42.8171,74.649,от агента,элитка,монолитный,2025.0,2.0,12.0,1,50.0,49.0,под самоотделку (псо),51500
"Бишкек, Ошский рынок, Рыскулова 110/павлова",42.8796,74.5667,от собственника,элитка,кирпичный,2025.0,10.0,12.0,2,58.3,,под самоотделку (псо),69900
"Бишкек, 8 м-н",42.8326,74.6108,от агента,индивид. планировка,кирпичный,,3.0,5.0,1,35.0,,евроремонт,60000
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8236,74.5858,от агента,элитка,панельный,2022.0,16.0,25.0,2,89.0,,под самоотделку (псо),195800
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,9.0,14.0,3,84.0,,под самоотделку (псо),92100
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8567,74.6385,от агента,элитка,монолитный,2023.0,8.0,9.0,1,54.0,,под самоотделку (псо),60500
"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",42.8516,74.5347,от агента,элитка,монолитный,2023.0,5.0,10.0,1,32.0,,хорошее,49500
"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",42.8644,74.5878,от агента,элитка,монолитный,2025.0,11.0,13.0,2,69.0,,под самоотделку (псо),94000
"Бишкек, Аламедин-1 м-н",42.8789,74.6794,от агента,106 серия,панельный,,2.0,9.0,1,36.0,18.0,хорошее,63500
"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",42.8291,74.5656,от собственника,элитка,монолитный,2025.0,11.0,14.0,1,59.36,,под самоотделку (псо),80136
"Бишкек, Кулатова- Матросова, Матросова, 1 к 1б",42.8627,74.6227,от агента,индивид. планировка,кирпичный,2023.0,4.0,14.0,3,97.8,57.5,,154000
"Бишкек, Горького - Панфилова, Каракульская 1",42.8614,74.5917,от агента,элитка,монолитный,2017.0,2.0,9.0,3,117.0,,евроремонт,205000
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,монолитный,2024.0,14.0,14.0,1,42.0,,под самоотделку (псо),49000
"Бишкек, Гагарина, Джал, ул. Курчатова 81",42.8469,74.5613,от агента,элитка,монолитный,2022.0,8.0,14.0,3,100.0,,евроремонт,157000
"Бишкек, 10 м-н",42.8292,74.6048,от агента,элитка,панельный,,11.0,14.0,2,58.0,,евроремонт,99000
"Бишкек, 4 м-н",42.8383,74.6248,от агента,104 серия,панельный,,4.0,4.0,3,58.0,,евроремонт,83000
"Бишкек, Ак-Орго ж/м, Таттыбубу Турсунбаева 2а",42.8451,74.5207,от агента,элитка,монолитный,2026.0,7.0,10.0,1,40.19,,под самоотделку (псо),40190
"Бишкек, Лебединовка,  ул.Ленина(быв Салиева), пер. Чкалова",42.8826,74.6709,от агента,элитка,кирпичный,2023.0,10.0,10.0,3,93.0,,под самоотделку (псо),85500
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,монолитный,2024.0,11.0,12.0,3,75.0,,под самоотделку (псо),83500
"Бишкек, Джал 15 м-н,  ул.Поваринская, мкр. Джал",42.8454,74.5664,от агента,элитка,монолитный,2023.0,15.0,16.0,2,76.0,,евроремонт,105000
"Бишкек, Джал-29 м-н",42.8319,74.5664,от агента,элитка,кирпичный,,7.0,14.0,1,40.0,,евроремонт,67000
"Бишкек, Дворец спорта, Рыскулова 100",42.8792,74.5934,от агента,элитка,кирпичный,2024.0,13.0,17.0,2,66.12,,под самоотделку (псо),100000
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,4.0,14.0,2,65.16,,под самоотделку (псо),75500
"Бишкек, Юг-2 м-н, Юг-2 микрорайон, 14",42.8592,74.6086,от агента,105 серия,панельный,1990.0,1.0,9.0,2,52.0,30.0,,78500
"Бишкек, Магистраль, Токомбаева, 15а",42.8169,74.6246,от агента,индивид. планировка,монолитный,2022.0,9.0,13.0,4,172.0,90.0,,245000
"Бишкек, АЮ Grand",42.8565,74.6788,от агента,элитка,кирпичный,,5.0,8.0,2,49.0,,хорошее,72000
"Бишкек, 10 м-н",42.8304,74.606,от агента,104 серия,панельный,1972.0,4.0,4.0,3,58.0,,евроремонт,87500
"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",42.8353,74.6413,от агента,элитка,монолитный,2023.0,7.0,14.0,1,45.0,,евроремонт,69900
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6154,от агента,элитка,кирпичный,2022.0,14.0,16.0,3,102.0,,евроремонт,165000
"Бишкек, ЦУМ",42.875,74.6111,от агента,элитка,кирпичный,,4.0,9.0,4,146.0,,евроремонт,249900
"Бишкек, Карпинка, Московская, 15",42.8691,74.6231,от агента,104 серия,панельный,1972.0,5.0,5.0,2,48.0,29.0,,84000
"Бишкек, Горького - Алма-Атинская,  ул.7-Апреля/ Горького (р/н ТРЦ «Технопарк»)",42.8581,74.6339,от агента,элитка,монолитный,2025.0,7.0,16.0,3,82.3,,под самоотделку (псо),96291
"Бишкек, Джал 15 м-н,  ул.Поваринская, мкр. Джал",42.8469,74.5672,от агента,элитка,монолитный,2023.0,13.0,16.0,3,100.0,,под самоотделку (псо),108000
"Бишкек, Советская - Скрябина, Абая/Ахунбаева",42.8467,74.6022,от агента,элитка,монолитный,2022.0,15.0,16.0,4,146.0,,под самоотделку (псо),154760
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,11.0,12.0,2,73.0,,евроремонт,107000
"Бишкек, 7 м-н, Юнусалиева 173/2",42.8277,74.6213,от агента,элитка,монолитный,2015.0,2.0,10.0,2,88.0,,хорошее,139000
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",42.8191,74.5857,от агента,элитка,монолитный,,10.0,14.0,4,126.0,,под самоотделку (псо),201600
"Бишкек, Учкун ж/м",42.8699,74.694,от агента,индивид. планировка,кирпичный,,9.0,9.0,3,87.0,,хорошее,93000
"Бишкек, КНУ, Абдымомунова 255",42.8805,74.5908,от собственника,элитка,монолитный,2020.0,5.0,12.0,2,81.0,,под самоотделку (псо),125550
"Бишкек, 7 м-н, Токомбаева, 53",42.8244,74.6157,от агента,индивид. планировка,кирпичный,2016.0,6.0,12.0,4,133.5,85.4,,320000
"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",42.8167,74.6245,от агента,элитка,монолитный,,10.0,18.0,3,137.0,,под самоотделку (псо),212350
"Бишкек, Карпинка, Суюмбаева/Токтогула",42.8712,74.624,от агента,элитка,монолитный,2023.0,5.0,9.0,2,40.0,,хорошее,79000
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8169,74.6092,от агента,элитка,монолитный,2022.0,7.0,12.0,4,83.0,,евроремонт,156000
"Бишкек, Ала-Арча 3, Байтик Баатыра",42.8108,74.5915,от агента,элитка,монолитный,2020.0,3.0,7.0,2,79.0,,под самоотделку (псо),150100
"Бишкек, Золотой квадрат, Панфилова-Московская",42.8694,74.6002,от агента,элитка,монолитный,2024.0,9.0,11.0,2,74.0,,под самоотделку (псо),125000
"Бишкек, Кызыл-Аскер ж/м",42.8652,74.5263,от собственника,элитка,кирпичный,,5.0,5.0,1,41.0,,евроремонт,36000
"Бишкек, Вечерка, Абдрахманова/Туголбай -Ата",42.8645,74.6118,от агента,элитка,монолитный,2019.0,4.0,12.0,1,68.0,54.0,евроремонт,107000
"Бишкек, Физкультурный, Суванбердиева 108",42.8482,74.6145,от собственника,105 серия,панельный,,4.0,9.0,1,39.0,39.0,хорошее,66000
"Бишкек, ЖД вокзал, Раззакова/Боконбаева",42.8665,74.6039,от агента,элитка,кирпичный,,9.0,13.0,2,54.0,,под самоотделку (псо),86000
"Бишкек, Джал-29 м-н, Тыналиева",42.8319,74.5677,от агента,элитка,монолитный,2020.0,6.0,12.0,4,140.0,,евроремонт,230000
"Бишкек, Магистраль, А.Токомбаева 15б/А.Куттубаева",42.8157,74.6234,от собственника,элитка,кирпичный,2026.0,13.0,14.0,2,60.64,,под самоотделку (псо),59500
"Бишкек, КНУ, К. Акиева/Жумабека",42.8833,74.5786,от агента,элитка,монолитный,2020.0,10.0,12.0,2,74.0,,евроремонт,116000
"Бишкек, 8 м-н, Айни Чапаева",42.8352,74.6144,от агента,индивид. планировка,кирпичный,2023.0,3.0,9.0,2,44.0,44.0,евроремонт,67000
"Бишкек, Парк Ататюрк, Малдыбаева, 54б",42.8398,74.5989,от агента,индивид. планировка,монолитный,2017.0,10.0,10.0,4,127.0,88.0,,174000
"Бишкек, 12 м-н",42.8145,74.6374,от агента,106 серия,панельный,,8.0,9.0,3,69.0,,евроремонт,103500
"Бишкек, Московская - Уметалиева",42.8742,74.5813,от агента,индивид. планировка,кирпичный,,5.0,5.0,3,76.0,,евроремонт,92500
"Бишкек, Магистраль, Арстанбека Дуйшеева, 12",42.8197,74.6151,от агента,индивид. планировка,монолитный,2021.0,4.0,16.0,1,47.0,10.0,,103000
